Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
2	1540	40.8821	-28.7111	77.9582	
2	1557	40.5885	-28.8978	76.9782	
2	1573	40.588	-28.8114	76.9839	
2	1590	40.4803	-28.7787	76.9658	
2	1607	40.3596	-28.7242	76.3834	
2	1623	40.263	-28.7404	76.34	
2	1640	40.2248	-28.6959	76.3856	
2	1657	40.2443	-28.6654	76.3331	
2	1673	40.1962	-28.6524	76.3264	
2	1690	40.1464	-28.7656	76.2428	
2	1707	40.1342	-28.7679	76.2345	
2	1723	40.0728	-28.829	76.2065	
2	1740	40.0338	-28.9227	76.2361	
2	1757	40.0674	-28.9447	76.1479	
2	1773	40.01	-29.1455	76.0546	
2	1790	40.0012	-29.2044	76.0611	
2	1807	39.961	-29.3804	76.0336	
2	1823	40.0295	-29.4877	75.9529	
2	1840	39.9072	-29.7242	75.3811	
2	1857	40.0832	-29.5413	75.0241	
2	1873	40.0493	-29.7539	74.9908	
2	1890	40.067	-29.9311	74.9112	
2	1907	40.0789	-30.0756	74.8638	
2	1923	40.1134	-29.8129	75.2147	
2	1940	40.068	-29.3758	75.7169	
2	1957	40.035	-29.5962	75.6199	
2	1973	40.0564	-29.6899	75.7103	
2	1990	40.0061	-29.913	75.6363	
2	2007	40.0508	-30.0329	75.6243	
2	2023	39.973	-30.2896	75.6207	
2	2040	39.9845	-30.5493	75.503	
2	2057	40.034	-30.638	75.5073	
2	2073	40.0181	-30.8631	75.4504	
2	2090	40.0406	-31.0886	75.3776	
2	2107	40.0543	-31.2358	75.3825	
2	2123	40.0249	-31.4907	75.3171	
2	2140	40.0734	-31.6863	75.2165	
2	2157	40.0878	-31.8621	75.1944	
2	2173	40.1153	-32.0482	75.1732	
2	2190	40.127	-32.2003	75.1373	
2	2207	40.1424	-32.3804	75.0494	
2	2223	40.1641	-32.5219	75.0361	
2	2240	40.1715	-32.767	74.9953	
2	2257	40.1909	-32.8763	74.9388	
2	2273	40.2367	-33.0585	74.8328	
2	2290	40.2026	-33.2586	74.8194	
3	7	41.186	-43.7962	85.852	
3	23	41.1421	-43.9045	85.7807	
3	40	41.1042	-43.8999	85.8368	
3	57	41.1214	-43.8055	85.8973	
3	73	41.103	-43.8271	85.8844	
3	90	41.076	-43.7861	85.9631	
3	107	41.0473	-43.7855	85.9917	
3	123	41.0422	-43.7062	86.0485	
3	140	41.0368	-43.6655	86.0243	
3	157	40.9857	-43.7886	86.0639	
3	173	40.9568	-43.6725	86.1805	
3	190	40.9197	-43.7244	86.2065	
3	207	40.9071	-43.7071	86.1684	
3	223	40.8811	-43.7054	86.2735	
3	240	40.8577	-43.6667	86.2711	
3	257	40.8215	-43.6696	86.3133	
3	273	40.7673	-43.6988	86.3381	
3	290	40.7678	-43.6815	86.374	
3	307	40.7559	-43.6215	86.3981	
3	323	40.7291	-43.5299	86.4559	
3	340	40.6572	-43.6348	86.4702	
3	357	40.6025	-43.6118	86.4748	
3	373	40.6	-43.5435	86.5264	
3	390	40.5594	-43.5507	86.5293	
3	407	40.5274	-43.4893	86.5885	
3	423	40.5049	-43.502	86.6006	
3	440	40.4538	-43.5084	86.6217	
3	457	40.4258	-43.4399	86.6488	
3	473	40.3908	-43.4471	86.6647	
3	490	40.3515	-43.4396	86.6735	
3	507	40.3487	-43.4083	86.6752	
3	523	40.2889	-43.4056	86.6713	
3	540	40.2751	-43.3705	86.6769	
3	557	40.2004	-43.4954	86.7201	
3	573	40.1978	-43.3715	86.6688	
3	590	40.1845	-43.39	86.7769	
3	607	40.1657	-43.4197	86.708	
3	623	40.0701	-43.4526	86.7365	
3	640	40.1025	-43.4294	86.7251	
3	657	40.0153	-43.516	86.6715	
3	673	40.0285	-43.3914	86.7546	
3	690	40.0572	-43.385	86.7161	
3	707	39.977	-43.4014	86.7041	
3	723	39.9671	-43.4538	86.6681	
3	740	39.9874	-43.3703	86.6479	
3	757	39.9043	-43.4353	86.6871	
3	773	39.8784	-43.4207	86.6472	
3	790	39.9221	-43.3159	86.6263	
3	807	39.8513	-43.3645	86.5457	
3	823	39.8977	-43.2848	86.5175	
3	840	39.8175	-43.2472	86.5432	
3	857	39.8429	-43.2425	86.4405	
3	873	39.8382	-43.1538	86.4657	
3	890	39.7956	-43.1605	86.3681	
3	907	39.7805	-43.0599	86.3924	
3	923	39.8331	-42.8598	86.3243	
3	940	39.7912	-42.8173	86.3018	
3	957	39.8015	-42.6568	86.2388	
3	973	39.7515	-42.618	86.2903	
3	990	39.7584	-42.5003	86.1606	
3	1007	39.7685	-42.3473	86.144	
3	1023	39.7839	-42.1116	86.1032	
3	1040	39.8113	-41.9238	86.0473	
3	1057	41.5661	-39.3753	83.8076	
3	1073	41.507	-39.1943	83.7567	
3	1090	41.5162	-38.9141	83.8224	
3	1107	41.4801	-38.7171	83.7156	
3	1123	41.4849	-38.5573	83.6977	
3	1140	41.4368	-38.2438	83.7547	
3	1157	41.4291	-38.0486	83.7335	
3	1173	41.3875	-37.8438	83.7131	
3	1190	41.3806	-37.5829	83.7224	
3	1207	41.3367	-37.3408	83.7423	
3	1223	41.3284	-37.0665	83.7397	
3	1240	41.2972	-36.801	83.7368	
3	1257	41.3067	-36.5154	83.7674	
3	1273	41.2452	-36.304	83.7515	
3	1290	41.3159	-36.8932	81.3801	
3	1307	41.3329	-36.5663	81.4199	
3	1323	41.2685	-36.3686	81.3784	
3	1340	41.2867	-36.0388	81.4931	
3	1357	41.2315	-35.772	81.5909	
3	1373	41.2178	-35.5141	81.6439	
3	1390	41.1437	-35.2775	81.6478	
3	1407	41.1525	-34.9981	81.7333	
3	1423	41.0091	-34.9286	81.7668	
3	1440	41.0311	-34.6652	81.8117	
3	1457	40.9542	-34.4534	81.877	
3	1473	40.9176	-34.2702	81.9234	
3	1490	41.0075	-34.0507	81.811	
3	1507	40.9407	-33.9419	81.8614	
3	1523	40.889	-33.8313	81.8999	
3	1540	40.332	-34.5905	79.0116	
3	1557	40.089	-34.7786	78.0473	
3	1573	40.0898	-34.6928	78.0507	
3	1590	39.9904	-34.6613	78.0302	
3	1607	39.8965	-34.6018	77.4858	
3	1623	39.8021	-34.618	77.4433	
3	1640	39.7664	-34.5737	77.4892	
3	1657	39.7839	-34.5428	77.4377	
3	1673	39.7376	-34.5297	77.4324	
3	1690	39.6867	-34.6421	77.3525	
3	1707	39.6762	-34.6441	77.3469	
3	1723	39.6155	-34.7055	77.3174	
3	1740	39.5786	-34.7989	77.3494	
3	1757	39.6109	-34.8206	77.2624	
3	1773	39.5494	-35.0194	77.1777	
3	1790	39.5431	-35.0771	77.1915	
3	1807	39.498	-35.2523	77.1665	
3	1823	39.5568	-35.357	77.0949	
