# No 90	"weighed coord, correcton -90deg in X and Z shift. MatchCarm on pig with xyz rot and xyz shift. Option 1: used corrected -90."							manshift																									
# filename parts																																	
"#Surface (Epi, LVEndo, RVEpi)"																																	
"#stim positions: exact, on surface"																																	
"#Surface, Elektrode label, ExactPosition,Projected on ventricular surface, manshift, activation time rel to stim."																																	
"# lines starting with # are ignored, empty line between measurement blocks"																																	
pig10_2+001_1155_1184_Pos02_LVEndo																																	
LVEndo																																	
-17.0	-16.8	797.3	-17.0	-16.9	797.3																												
pig10_2+001_3542_3571_Pos04_LVEpi																																	
Epi																																	
-35.8	-10.0	778.1	-35.6	-9.8	778.7																												
'Epi'	'Epi1'	-73.6	9.8	793.3	-58.2	8.6	797.4	0.0	0.0	0.0																							
'Epi'	'Epi2'	-57.0	12.8	787.0	-53.4	12.5	788.7	0.0	0.0	0.0																							
'Epi'	'Epi3'	-49.5	10.2	781.1	-49.0	10.1	782.0	0.0	0.0	0.0	39.0																						
'Epi'	'Epi4'	-48.4	8.3	779.1	-47.4	8.1	780.8	0.0	0.0	0.0																							
'Epi'	'Epi5'	-41.0	2.0	775.9	-40.2	2.2	778.0	0.0	0.0	0.0	24.0																						
'Epi'	'Epi6'	-38.3	-0.2	776.4	-37.9	-0.1	777.3	0.0	0.0	0.0																							
'Epi'	'Epi7'	-35.8	-10.0	778.1	-35.6	-9.8	778.7	0.0	0.0	0.0	0.0																						
'Epi'	'Epi8'	-32.2	-12.0	780.4	-33.0	-12.6	778.7	0.0	0.0	0.0																							
'Epi'	'Epi9'	-35.8	-19.0	787.3	-36.7	-21.1	784.1	0.0	0.0	0.0	31.0																						
'Epi'	'Epi10'	-37.3	-20.9	789.4	-38.1	-24.2	787.5	0.0	0.0	0.0																							
'Epi'	'Epi11'	-39.2	-27.4	797.7	-39.4	-28.1	797.1	0.0	0.0	0.0																							
'Epi'	'Epi12'	-42.7	-28.1	799.8	-42.9	-28.3	799.7	0.0	0.0	0.0																							
'Epi'	'Epi13'	-45.1	-33.4	809.9	-44.8	-33.3	809.9	0.0	0.0	0.0																							
'Epi'	'Epi14'	-46.0	-34.1	812.4	-44.8	-34.0	812.4	0.0	0.0	0.0																							
'Epi'	'Epi15'	-50.6	-36.0	822.7	-43.0	-33.8	820.5	0.0	0.0	0.0																							
'Epi'	'Epi16'	-50.9	-37.0	825.6	-42.1	-34.6	822.2	0.0	0.0	0.0																							
